Course,,Comp,,Plan Enrol,Assigned Day,Assigned Start Time,Assigned Duration,Room Assigned,First Name,Last Name
COMP3512,,1,,40,Monday,16:00,1:30,T239,Randy,Connolly
,,,,,Wednesday,16:00,1:30,T239,Randy,Connolly
,,401,,20,Friday,15:00,1:00,,Randy,Connolly
,,402,,20,Friday,16:00,1:00,,Randy,Connolly
COMP3532,,1,,44,,,,,,
,,501,,22,Monday,14:30,1:00,,,
,,502,,22,Monday,10:00,1:00,,,
COMP3533,,1,,44,Monday,8:30,1:30,B220,Mingwei,Gong
,,,,,Wednesday,8:30,1:30,B220,Mingwei,Gong
,,501,,22,Tuesday,16:00,1:00,B162,Mingwei,Gong
,,502,,22,Tuesday,13:00,1:00,,Mingwei,Gong
COMP3553,,1,,40,Monday,11:30,1:30,T225,Randy,Connolly
,,,,,Wednesday,11:30,1:30,T225,Randy,Connolly
,,401,,20,Friday,9:30,1:00,E203,,
,,402,,20,Friday,10:30,1:00,E203,,
COMP3614,,1,,30,Tuesday,14:30,1:30,B231,Charles,Hepler
,,,,,Thursday,14:30,1:30,B231,Charles,Hepler
,,401,,30,Friday,8:30,1:00,E123,Charles,Hepler
COMP3649,,1,,30,Tuesday,16:00,1:30,E131,Marc,Schroeder
,,,,,Thursday,16:00,1:30,E131,Marc,Schroeder
,,401,,30,Thursday,10:30,2:00,E203,Marc,Schroeder
COMP3654,,1,,30,Monday,10:00,1:30,E203,Khosro,Salmani
,,,,,Wednesday,10:00,1:30,E203,Khosro,Salmani
,,501,,30,Thursday,8:30,1:00,E203,Khosro,Salmani
COMP4513,,1,,35,Monday,14:30,1:30,T231,Randy,Connolly
,,,,,Wednesday,14:30,1:30,T231,Randy,Connolly
COMP4522,,1,,40,,,,,,
COMP4543,,1,,40,,,,,,
COMP4630,,1,,35,Monday,11:30,1:30,T231,Charlotte,Curtis
,,,,,Wednesday,11:30,1:30,T231,Charlotte,Curtis
,,401,,35,Tuesday,8:30,1:00,E203,Charlotte,Curtis
COMP4635,,1,,25,,,,,Maryam,Elahi
,,401,,25,Tuesday,13:00,1:00,B162,Maryam,Elahi
MATH0115,,1,,40,,,,Y316,,
,,,,,,,,Y316,,
,,,,40,,,,Y316,,
,,401,,20,Tuesday,15:00,1:00,E125,,
,,402,,20,Thursday,15:00,1:00,E125,,
,,2,,40,Tuesday,18:00,1:00,Y316,,
,,,,,Thursday,18:00,1:00,Y316,,
,,,,40,Tuesday,19:00,1:30,Y316,,
,,,,,Thursday,19:00,1:30,Y316,,
,,403,,20,Tuesday,20:30,1:00,Y316,,
,,404,,20,Thursday,20:30,1:00,E123,,
,,65,,40,,,,EB1028,,
,,,,,,,,EB1028,,
,,,,40,Friday,9:00,1:00,EB1028,,
,,465,,40,Friday,10:00,1:00,EB1028,,
,,66,,30,Tuesday,10:30,2:00,EA2070,,
,,,,,Thursday,10:30,2:00,EA2070,,
,,,,30,Friday,9:00,1:00,EA2027,,
,,466,,30,Friday,10:00,1:00,EA2027,,
MATH0130,,1,,45,,,,O226,,
,,,,,,,,O226,,
,,,,45,,,,O226,,
,,401,,20,,,,E123,,
,,402,,25,,,,E123,,
,,2,,50,,,,EA1024,,
,,,,,,,,EA1024,,
,,403,,25,Thursday,12:30,1:00,B222,,
,,404,,25,Friday,14:00,1:00,EA1024,,
,,3,,50,,,,O226,,
,,,,,,,,O226,,
,,,,50,,,,O226,,
,,405,,25,Friday,15:00,1:00,O226,,
,,406,,25,Friday,11:30,1:00,O226,,
,,4,,50,,,,O226,,
,,,,,,,,O226,,
,,407,,25,Wednesday,18:30,1:00,T230,,
,,408,,25,Tuesday,18:30,1:00,T230,,
,,5,,50,Monday,18:00,1:00,EA1024,,
,,,,,Wednesday,18:00,1:00,EA1024,,
,,,,50,Monday,19:00,1:30,EA1024,,
,,,,,Wednesday,19:00,1:30,EA1024,,
,,409,,25,Monday,20:30,1:00,T230,,
,,410,,25,Wednesday,20:30,1:00,T230,,
,,65,,5,,,,O226,,
,,,,,,,,O226,,
,,,,5,,,,O226,,
,,465,,5,,,,E123,,
MATH0131,,1,,30,,,,E123,,
,,,,,,,,E123,,
,,,,30,,,,E123,,
MATH0132,,1,,50,,,,EB1102,,
,,,,,,,,EB1102,,
,,,,50,,,,EB1102,,
,,401,,25,Friday,13:30,1:00,EB1102,,
,,402,,25,Friday,11:30,1:00,EB1102,,
,,2,,50,,,,EB1102,,
,,,,,,,,EB1102,,
,,,,50,,,,EB1102,,
,,403,,25,Wednesday,10:30,1:00,T223,,
,,404,,25,Friday,15:00,1:00,E125,,
,,3,,50,,,,O226,,
,,,,,,,,O226,,
,,405,,25,Wednesday,11:30,1:00,B231,,
,,406,,25,Thursday,13:30,1:00,B222,,
,,4,,50,Tuesday,18:00,1:00,O226,,
,,,,,Thursday,18:00,1:00,O226,,
,,,,50,Tuesday,19:00,1:30,O226,,
