Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
COMP-2503-001,10573,MATHEMATICS & COMPUTING,Programming III:Data Structure,3,LEC,W F,1000am,1120am,06-JAN-21 To 24-APR-21,LP,Y222,40,1,Fedoruk A,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.  htm for details.,,,,,,,
COMP-2503-401,10574,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,Fedoruk A,,,,,,,,,,,
COMP-2503-402,10575,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,Fedoruk A,,,,,,,,,,,
COMP-2511-001,10576,MATHEMATICS & COMPUTING,Web I: Client Development,3,LEC,T R,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,I120,40,1,Amannejad Y,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take lab 501 or 502.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm f or details.,,,,,,,
COMP-2511-002,10577,MATHEMATICS & COMPUTING,Web I: Client Development,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,EC,EC1135,60,1,TBA,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 002 take one of labs 503 - 505.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/inde x.htm for details.,,,,,,,
COMP-2511-501,10578,MATHEMATICS & COMPUTING,Laboratory,0,LAB,W,1000am,1050am,06-JAN-21 To 24-APR-21,LP,B107,20,1,Amannejad Y,,,,,,,,,,,
COMP-2511-502,10579,MATHEMATICS & COMPUTING,Laboratory,0,LAB,W,1100am,1150am,06-JAN-21 To 24-APR-21,LP,B107,20,1,Amannejad Y,,,,,,,,,,,
COMP-2511-503,10580,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1400pm,1450pm,06-JAN-21 To 24-APR-21,LP,B107,20,1,TBA,,,,,,,,,,,
COMP-2511-504,10581,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1500pm,1550pm,06-JAN-21 To 24-APR-21,LP,B107,20,1,TBA,,,,,,,,,,,
COMP-2511-505,10582,MATHEMATICS & COMPUTING,Laboratory,0,LAB,W,1200pm,1250pm,06-JAN-21 To 24-APR-21,LP,B107,20,1,TBA,,,,,,,,,,,
COMP-2521-001,10583,MATHEMATICS & COMPUTING,Database I: Modelling & Query,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,B217,40,1,Ittyipe S,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take tutorial 401 or 402.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.  htm for details.,,,,,,,
COMP-2521-401,10584,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1330pm,1420pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,Ittyipe S,,,,,,,,,,,
COMP-2521-402,10585,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,Ittyipe S,,,,,,,,,,,
COMP-2531-001,10586,MATHEMATICS & COMPUTING,Architecture & OperatingSystem,3,LEC,M W,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,Y222,60,1,Khemka-Dolan N,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take one of labs 501 - 503.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/inde x.htm for details.,,,,,,,
COMP-2531-501,10587,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B162,20,1,Khemka-Dolan N,,,,,,,,,,,
COMP-2531-502,10588,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,0930am,1020am,06-JAN-21 To 24-APR-21,LP,B162,20,1,Khemka-Dolan N,,,,,,,,,,,
COMP-2531-503,10589,MATHEMATICS & COMPUTING,Laboratory,0,LAB,T,1230pm,1320pm,06-JAN-21 To 24-APR-21,LP,B162,20,1,Khemka-Dolan N,,,,,,,,,,,
COMP-2541-001,10590,MATHEMATICS & COMPUTING,Systems Analysis,3,LEC,M W,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,T141,60,1,Uzoka F,,,,RESTRICTION: Bachelor of Computer Information Systems | Lecture 001 take one of tutorials 401 - 403.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings,,,,,,,
COMP-2541-401,10591,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,0930am,1020am,06-JAN-21 To 24-APR-21,LP,E203,20,1,Uzoka F,,,,,,,,,,,
COMP-2541-402,10592,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1130am,1220pm,06-JAN-21 To 24-APR-21,LP,E203,20,1,Uzoka F,,,,,,,,,,,
COMP-2541-403,10593,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1030am,1120am,06-JAN-21 To 24-APR-21,LP,E203,20,1,Uzoka F,,,,,,,,,,,
